repetition, trial, tTest, response, quantile_mean, quantile_sd
13,27,-2.003247,1,-2.012278,0.081777
13,28,-2.010390,1,-2.019524,0.073943
13,29,-2.016927,1,-2.026151,0.068211
13,30,-2.023137,1,-2.032203,0.063852
13,31,-2.028932,1,-2.037890,0.060628
13,32,-2.034376,0,-2.012018,0.065812
13,33,-2.010158,1,-2.017634,0.061188
13,34,-2.015397,1,-2.022882,0.057735
13,35,-2.020537,0,-2.000068,0.064314
13,36,-1.998805,1,-2.005374,0.059558
13,37,-2.003761,1,-2.010238,0.055912
13,38,-2.008455,1,-2.014818,0.053158
13,39,-2.012887,1,-2.019093,0.050955
13,40,-2.017066,1,-2.023179,0.049207
14,1,-0.647661,1,-1.323926,1.216125
14,2,-1.106588,1,-1.620842,1.117931
14,3,-1.474511,1,-1.884288,1.012953
14,4,-1.776842,1,-2.115703,0.908826
14,5,-2.034154,1,-2.316118,0.807871
14,6,-2.251309,1,-2.489290,0.713671
14,7,-2.437984,0,-1.842333,0.703598
14,8,-1.958917,1,-1.983644,0.597128
14,9,-2.075849,1,-2.090881,0.503524
14,10,-2.150627,0,-1.726474,0.650163
14,11,-1.886514,1,-1.849469,0.543040
14,12,-1.969065,0,-1.471896,0.719842
14,13,-1.652076,1,-1.620727,0.604991
14,14,-1.769865,1,-1.728359,0.501245
14,15,-1.833970,1,-1.805473,0.410544
14,16,-1.874537,1,-1.860821,0.334422
14,17,-1.903409,1,-1.901157,0.272506
14,18,-1.925680,1,-1.931370,0.224056
14,19,-1.944093,1,-1.954790,0.185161
14,20,-1.959549,1,-1.973587,0.155701
14,21,-1.973086,1,-1.989155,0.133276
14,22,-1.985117,1,-2.002695,0.117200
14,23,-1.996261,1,-2.014724,0.105562
14,24,-2.006545,1,-2.025687,0.097388
14,25,-2.016152,1,-2.035903,0.091842
14,26,-2.025235,1,-2.045605,0.088253
14,27,-2.033915,1,-2.054680,0.085837
14,28,-2.042079,0,-2.010525,0.078408
14,29,-2.006565,0,-1.976068,0.092504
14,30,-1.975439,0,-1.939298,0.123063
14,31,-1.943350,0,-1.890813,0.181332
14,32,-1.905359,1,-1.906191,0.148953
14,33,-1.914910,1,-1.918311,0.123063
14,34,-1.923135,1,-1.928127,0.103395
14,35,-1.930513,1,-1.936366,0.088650
14,36,-1.937090,1,-1.943504,0.077710
14,37,-1.943207,1,-1.949777,0.069409
14,38,-1.948836,1,-1.955462,0.063338
14,39,-1.954039,1,-1.960624,0.058736
14,40,-1.958964,1,-1.965445,0.055320
15,1,-0.647661,1,-1.323926,1.216125
15,2,-1.106588,1,-1.620842,1.117931
15,3,-1.474511,1,-1.884288,1.012953
15,4,-1.776842,1,-2.115703,0.908826
15,5,-2.034154,1,-2.316118,0.807871
15,6,-2.251309,1,-2.489290,0.713671
15,7,-2.437984,1,-2.638615,0.627468
15,8,-2.598948,0,-2.075473,0.639530
15,9,-2.174424,1,-2.198419,0.539696
15,10,-2.274347,0,-1.782510,0.680913
15,11,-1.927479,1,-1.917327,0.571856
15,12,-2.034619,1,-2.016779,0.473769
15,13,-2.097782,1,-2.089374,0.390888
15,14,-2.140868,0,-1.846143,0.551047
15,15,-1.979560,1,-1.936809,0.454145
15,16,-2.028663,1,-2.001325,0.371419
15,17,-2.060823,1,-2.047785,0.302329
15,18,-2.084200,1,-2.081800,0.245855
15,19,-2.102520,0,-1.962487,0.369388
15,20,-2.028343,1,-2.006703,0.300019
15,21,-2.048628,1,-2.038566,0.243428
15,22,-2.064266,0,-1.928954,0.372810
15,23,-1.999455,1,-1.972814,0.302243
15,24,-2.018131,0,-1.838361,0.452188
15,25,-1.944435,1,-1.899196,0.367375
15,26,-1.969012,1,-1.941349,0.297609
15,27,-1.986269,1,-1.971216,0.241045
15,28,-1.999670,1,-1.993015,0.195184
15,29,-2.010453,1,-2.009294,0.158892
15,30,-2.019560,1,-2.021856,0.130715
15,31,-2.027452,0,-1.976710,0.194286
15,32,-1.994879,1,-1.992510,0.157414
15,33,-2.003373,0,-1.936341,0.242907
15,34,-1.967090,1,-1.957549,0.196539
15,35,-1.976882,0,-1.889463,0.299693
15,36,-1.937859,0,-1.766776,0.450485
15,37,-1.876881,1,-1.825170,0.367263
15,38,-1.898492,1,-1.865895,0.297240
15,39,-1.913514,0,-1.738887,0.453902
15,40,-1.850867,1,-1.798285,0.369284
16,1,-0.647661,1,-1.323926,1.216125
